id,price_date,price_off_peak_var,price_peak_var,price_mid_peak_var,price_off_peak_fix,price_peak_fix,price_mid_peak_fix
038af19179925da21a25619c5a24b745,2015-01-01,0.151367,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-02-01,0.151367,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-03-01,0.151367,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-04-01,0.149626,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-05-01,0.149626,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-06-01,0.149626,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-07-01,0.147885,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-08-01,0.147885,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-09-01,0.147885,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-10-01,0.146144,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-11-01,0.146144,0.0,0.0,44.266931,0.0,0.0
038af19179925da21a25619c5a24b745,2015-12-01,0.146144,0.0,0.0,44.266931,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-01-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-02-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-03-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-04-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-05-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-06-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-07-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-08-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-09-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-10-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-11-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
24011ae4ebbe3035111d65fa7c15bc57,2015-12-01,0.114481,0.098142,0.0,40.606701,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-01-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-02-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-03-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-04-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-05-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-06-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-07-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-08-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-09-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-10-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-11-01,0.145711,0.0,0.0,44.311378,0.0,0.0
d29c2c54acc38ff3c0614d0a653813dd,2015-12-01,0.145711,0.0,0.0,44.311378,0.0,0.0
